Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-06
Horizontal Delay,2.86e-06
Sample Interval,1e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.04
,
,
,
Label,
TIME,CH1
-2.140e-06,-0.0132031
-2.139e-06,-0.00601563
-2.138e-06,-0.0084375
-2.137e-06,-0.0113281
-2.136e-06,-0.00695313
-2.135e-06,-0.01
-2.134e-06,-0.00671875
-2.133e-06,-0.0108594
-2.132e-06,-0.0124219
-2.131e-06,-0.0116406
-2.130e-06,-0.0113281
-2.129e-06,-0.0121875
-2.128e-06,-0.00765625
-2.127e-06,-0.01125
-2.126e-06,-0.0078125
-2.125e-06,-0.00929687
-2.124e-06,-0.0100781
-2.123e-06,-0.0117969
-2.122e-06,-0.00757812
-2.121e-06,-0.00835937
-2.120e-06,-0.00914063
-2.119e-06,-0.00789062
-2.118e-06,-0.0110156
-2.117e-06,-0.0109375
-2.116e-06,-0.00773438
-2.115e-06,-0.0128125
-2.114e-06,-0.00757812
-2.113e-06,-0.00859375
-2.112e-06,-0.01
-2.111e-06,-0.00976562
-2.110e-06,-0.00984375
-2.109e-06,-0.005625
-2.108e-06,-0.0108594
-2.107e-06,-0.0111719
-2.106e-06,-0.0096875
-2.105e-06,-0.00992188
-2.104e-06,-0.00882812
-2.103e-06,-0.00929687
-2.102e-06,-0.0103906
-2.101e-06,-0.00867188
-2.100e-06,-0.0136719
-2.099e-06,-0.00804688
-2.098e-06,-0.0103906
-2.097e-06,-0.00929687
-2.096e-06,-0.00867188
-2.095e-06,-0.0108594
-2.094e-06,-0.00609375
-2.093e-06,-0.00984375
-2.092e-06,-0.00914063
-2.091e-06,-0.00734375
-2.090e-06,-0.0107812
-2.089e-06,-0.00898438
-2.088e-06,-0.00820313
-2.087e-06,-0.00796875
-2.086e-06,-0.0065625
-2.085e-06,-0.0127344
-2.084e-06,-0.00320312
-2.083e-06,-0.0084375
-2.082e-06,-0.0130469
-2.081e-06,-0.00859375
-2.080e-06,-0.00375
-2.079e-06,-0.0103906
-2.078e-06,-0.00859375
-2.077e-06,-0.0104688
-2.076e-06,-0.0075
-2.075e-06,-0.0071875
-2.074e-06,-0.00898438
-2.073e-06,-0.00859375
-2.072e-06,-0.0103906
-2.071e-06,-0.00726563
-2.070e-06,-0.00882812
-2.069e-06,-0.00851563
-2.068e-06,-0.006875
-2.067e-06,-0.0075
-2.066e-06,-0.00953125
-2.065e-06,-0.0117969
-2.064e-06,-0.00648438
-2.063e-06,-0.0128125
-2.062e-06,-0.0107812
-2.061e-06,-0.00882812
-2.060e-06,-0.00515625
-2.059e-06,-0.0128906
-2.058e-06,-0.0103906
-2.057e-06,-0.00859375
-2.056e-06,-0.0071875
-2.055e-06,-0.006875
-2.054e-06,-0.00804688
-2.053e-06,-0.0125
-2.052e-06,-0.00703125
-2.051e-06,-0.00820313
-2.050e-06,-0.00757812
-2.049e-06,-0.00898438
-2.048e-06,-0.00734375
-2.047e-06,-0.0101563
-2.046e-06,-0.00929687
-2.045e-06,-0.00929687
-2.044e-06,-0.009375
-2.043e-06,-0.00851563
-2.042e-06,-0.0102344
-2.041e-06,-0.00585938
-2.040e-06,-0.00796875
-2.039e-06,-0.0084375
-2.038e-06,-0.0053125
-2.037e-06,-0.00742187
-2.036e-06,-0.0075
-2.035e-06,-0.00734375
-2.034e-06,-0.0109375
-2.033e-06,-0.0084375
-2.032e-06,-0.009375
-2.031e-06,-0.0107812
-2.030e-06,-0.00757812
-2.029e-06,-0.00898438
-2.028e-06,-0.0105469
-2.027e-06,-0.0114063
-2.026e-06,-0.00757812
-2.025e-06,-0.0078125
-2.024e-06,-0.00742187
-2.023e-06,-0.0075
-2.022e-06,-0.00710937
-2.021e-06,-0.0142187
-2.020e-06,-0.00507813
-2.019e-06,-0.0128125
-2.018e-06,-0.00570312
-2.017e-06,-0.00890625
-2.016e-06,-0.00898438
-2.015e-06,-0.0100781
-2.014e-06,-0.0102344
-2.013e-06,-0.00890625
-2.012e-06,-0.0101563
-2.011e-06,-0.0107812
-2.010e-06,-0.0107031
-2.009e-06,-0.00851563
-2.008e-06,-0.00625
-2.007e-06,-0.0101563
-2.006e-06,-0.005625
-2.005e-06,-0.00859375
-2.004e-06,-0.01125
-2.003e-06,-0.00976562
-2.002e-06,-0.00851563
-2.001e-06,-0.0110156
-2.000e-06,-0.00882812
-1.999e-06,-0.0109375
-1.998e-06,-0.01
-1.997e-06,-0.0101563
-1.996e-06,-0.0084375
-1.995e-06,-0.00875
-1.994e-06,-0.0116406
-1.993e-06,-0.005625
-1.992e-06,-0.00710937
-1.991e-06,-0.00953125
-1.990e-06,-0.00429688
-1.989e-06,-0.00945313
-1.988e-06,-0.00914063
-1.987e-06,-0.00757812
-1.986e-06,-0.00945313
-1.985e-06,-0.0090625
-1.984e-06,-0.00859375
-1.983e-06,-0.0107812
-1.982e-06,-0.00648438
-1.981e-06,-0.0075
-1.980e-06,-0.00625
-1.979e-06,-0.00851563
-1.978e-06,-0.0071875
-1.977e-06,-0.0075
-1.976e-06,-0.008125
-1.975e-06,-0.00492187
-1.974e-06,-0.00796875
-1.973e-06,-0.00945313
-1.972e-06,-0.00726563
-1.971e-06,-0.0108594
-1.970e-06,-0.004375
-1.969e-06,-0.0108594
-1.968e-06,-0.00945313
-1.967e-06,-0.00914063
-1.966e-06,-0.00679688
-1.965e-06,-0.006875
-1.964e-06,-0.00859375
-1.963e-06,-0.0053125
-1.962e-06,-0.00828125
-1.961e-06,-0.0105469
-1.960e-06,-0.0075
-1.959e-06,-0.00757812
-1.958e-06,-0.00757812
-1.957e-06,-0.00695313
-1.956e-06,-0.00765625
-1.955e-06,-0.0113281
-1.954e-06,-0.010625
-1.953e-06,-0.010625
-1.952e-06,-0.00992188
-1.951e-06,-0.00875
-1.950e-06,-0.0090625
-1.949e-06,-0.01125
-1.948e-06,-0.0111719
-1.947e-06,-0.0075
-1.946e-06,-0.0109375
-1.945e-06,-0.0114063
-1.944e-06,-0.00671875
-1.943e-06,-0.0111719
-1.942e-06,-0.00609375
-1.941e-06,-0.0090625
-1.940e-06,-0.0090625
-1.939e-06,-0.01
-1.938e-06,-0.00484375
-1.937e-06,-0.0125
-1.936e-06,-0.00578125
-1.935e-06,-0.0161719
-1.934e-06,-0.00789062
-1.933e-06,-0.00859375
-1.932e-06,-0.0090625
-1.931e-06,-0.00992188
-1.930e-06,-0.0114844
-1.929e-06,-0.00882812
-1.928e-06,-0.006875
-1.927e-06,-0.0127344
-1.926e-06,-0.01
-1.925e-06,-0.0110938
-1.924e-06,-0.00734375
-1.923e-06,-0.00625
-1.922e-06,-0.0114844
-1.921e-06,-0.00953125
-1.920e-06,-0.00726563
-1.919e-06,-0.0096875
-1.918e-06,-0.0096875
-1.917e-06,-0.00914063
-1.916e-06,-0.00664062
-1.915e-06,-0.00804688
-1.914e-06,-0.0109375
-1.913e-06,-0.00945313
-1.912e-06,-0.00914063
-1.911e-06,-0.00617187
-1.910e-06,-0.00546875
-1.909e-06,-0.0117969
-1.908e-06,-0.0084375
-1.907e-06,-0.0125781
-1.906e-06,-0.0113281
-1.905e-06,-0.0114844
-1.904e-06,-0.0139063
-1.903e-06,-0.00710937
-1.902e-06,-0.0100781
-1.901e-06,-0.00882812
-1.900e-06,-0.00851563
-1.899e-06,-0.00679688
-1.898e-06,-0.00742187
-1.897e-06,-0.00960937
-1.896e-06,-0.00945313
-1.895e-06,-0.00882812
-1.894e-06,-0.00648438
-1.893e-06,-0.0075
-1.892e-06,-0.0102344
-1.891e-06,-0.0100781
-1.890e-06,-0.00765625
-1.889e-06,-0.0109375
-1.888e-06,-0.0121875
-1.887e-06,-0.00992188
-1.886e-06,-0.00304688
-1.885e-06,-0.00609375
-1.884e-06,-0.0110938
-1.883e-06,-0.0096875
-1.882e-06,-0.0107812
-1.881e-06,-0.0071875
-1.880e-06,-0.00617187
-1.879e-06,-0.00914063
-1.878e-06,-0.00617187
-1.877e-06,-0.0124219
-1.876e-06,-0.0084375
-1.875e-06,-0.00820313
-1.874e-06,-0.0110156
-1.873e-06,-0.00804688
-1.872e-06,-0.00625
-1.871e-06,-0.00898438
-1.870e-06,-0.00914063
-1.869e-06,-0.004375
-1.868e-06,-0.0114844
-1.867e-06,-0.00953125
-1.866e-06,-0.00765625
-1.865e-06,-0.0109375
-1.864e-06,-0.0111719
-1.863e-06,-0.0122656
-1.862e-06,-0.00914063
-1.861e-06,-0.00835937
-1.860e-06,-0.00507813
-1.859e-06,-0.00742187
-1.858e-06,-0.0065625
-1.857e-06,-0.0132031
-1.856e-06,-0.00828125
-1.855e-06,-0.005625
-1.854e-06,-0.00898438
-1.853e-06,-0.0104688
-1.852e-06,-0.00609375
-1.851e-06,-0.0117188
-1.850e-06,-0.00875
-1.849e-06,-0.0119531
-1.848e-06,-0.0084375
-1.847e-06,-0.0102344
-1.846e-06,-0.0096875
-1.845e-06,-0.00953125
-1.844e-06,-0.00992188
-1.843e-06,-0.0121875
-1.842e-06,-0.00921875
-1.841e-06,-0.00742187
-1.840e-06,-0.0096875
-1.839e-06,-0.00875
-1.838e-06,-0.00640625
-1.837e-06,-0.0127344
-1.836e-06,-0.0107812
-1.835e-06,-0.0114844
-1.834e-06,-0.00789062
-1.833e-06,-0.00859375
-1.832e-06,-0.0147656
-1.831e-06,-0.00632813
-1.830e-06,-0.0108594
-1.829e-06,-0.0117188
-1.828e-06,-0.00804688
-1.827e-06,-0.00625
-1.826e-06,-0.0120312
-1.825e-06,-0.00648438
-1.824e-06,-0.00601563
-1.823e-06,-0.0096875
-1.822e-06,-0.01125
-1.821e-06,-0.00992188
-1.820e-06,-0.0132812
-1.819e-06,-0.0071875
-1.818e-06,-0.008125
-1.817e-06,-0.0145313
-1.816e-06,-0.00875
-1.815e-06,-0.00625
-1.814e-06,-0.008125
-1.813e-06,-0.0102344
-1.812e-06,-0.00804688
-1.811e-06,-0.00828125
-1.810e-06,-0.01
-1.809e-06,-0.0111719
-1.808e-06,-0.0107812
-1.807e-06,-0.0121094
-1.806e-06,-0.0075
-1.805e-06,-0.00757812
-1.804e-06,-0.00921875
-1.803e-06,-0.01
-1.802e-06,-0.01125
-1.801e-06,-0.00703125
-1.800e-06,-0.00734375
-1.799e-06,-0.0107031
-1.798e-06,-0.0103125
-1.797e-06,-0.00882812
-1.796e-06,-0.0110938
-1.795e-06,-0.00875
-1.794e-06,-0.0127344
-1.793e-06,-0.00710937
-1.792e-06,-0.00835937
-1.791e-06,-0.00859375
-1.790e-06,-0.00851563
-1.789e-06,-0.0114844
-1.788e-06,-0.00617187
-1.787e-06,-0.00929687
-1.786e-06,-0.00710937
-1.785e-06,-0.0109375
-1.784e-06,-0.010625
-1.783e-06,-0.0103906
-1.782e-06,-0.00976562
-1.781e-06,-0.00898438
-1.780e-06,-0.0144531
-1.779e-06,-0.00921875
-1.778e-06,-0.00890625
-1.777e-06,-0.008125
-1.776e-06,-0.00875
-1.775e-06,-0.0101563
-1.774e-06,-0.0121875
-1.773e-06,-0.00820313
-1.772e-06,-0.0103125
-1.771e-06,-0.0110156
-1.770e-06,-0.00671875
-1.769e-06,-0.006875
-1.768e-06,-0.0125
-1.767e-06,-0.00921875
-1.766e-06,-0.00898438
-1.765e-06,-0.0110938
-1.764e-06,-0.00882812
-1.763e-06,-0.0122656
-1.762e-06,-0.00554688
-1.761e-06,-0.0125781
-1.760e-06,-0.0046875
-1.759e-06,-0.0100781
-1.758e-06,-0.00875
-1.757e-06,-0.00671875
-1.756e-06,-0.0121875
-1.755e-06,-0.00734375
-1.754e-06,-0.00703125
-1.753e-06,-0.0117188
-1.752e-06,-0.0090625
-1.751e-06,-0.0103906
-1.750e-06,-0.0105469
-1.749e-06,-0.00648438
-1.748e-06,-0.00875
-1.747e-06,-0.00875
-1.746e-06,-0.00773438
-1.745e-06,-0.00742187
-1.744e-06,-0.00890625
-1.743e-06,-0.00742187
-1.742e-06,-0.0071875
-1.741e-06,-0.0117188
-1.740e-06,-0.00914063
-1.739e-06,-0.0113281
-1.738e-06,-0.009375
-1.737e-06,-0.00835937
-1.736e-06,-0.00773438
-1.735e-06,-0.00664062
-1.734e-06,-0.009375
-1.733e-06,-0.00726563
-1.732e-06,-0.00554688
-1.731e-06,-0.01125
-1.730e-06,-0.00648438
-1.729e-06,-0.00984375
-1.728e-06,-0.0100781
-1.727e-06,-0.00773438
-1.726e-06,-0.0090625
-1.725e-06,-0.011875
-1.724e-06,-0.0103906
-1.723e-06,-0.008125
-1.722e-06,-0.00992188
-1.721e-06,-0.00726563
-1.720e-06,-0.0101563
-1.719e-06,-0.0109375
-1.718e-06,-0.01
-1.717e-06,-0.00695313
-1.716e-06,-0.0103906
-1.715e-06,-0.0103906
-1.714e-06,-0.00914063
-1.713e-06,-0.008125
-1.712e-06,-0.0107812
-1.711e-06,-0.0115625
-1.710e-06,-0.00914063
-1.709e-06,-0.00914063
-1.708e-06,-0.00617187
-1.707e-06,-0.00820313
-1.706e-06,-0.00929687
-1.705e-06,-0.00757812
-1.704e-06,-0.0101563
-1.703e-06,-0.00851563
-1.702e-06,-0.009375
-1.701e-06,-0.0111719
-1.700e-06,-0.0134375
-1.699e-06,-0.0104688
-1.698e-06,-0.00695313
-1.697e-06,-0.0107031
-1.696e-06,-0.0110156
-1.695e-06,-0.005
-1.694e-06,-0.0071875
-1.693e-06,-0.0115625
-1.692e-06,-0.00890625
-1.691e-06,-0.0110156
-1.690e-06,-0.00929687
-1.689e-06,-0.00976562
-1.688e-06,-0.0065625
-1.687e-06,-0.0114844
-1.686e-06,-0.008125
-1.685e-06,-0.00898438
-1.684e-06,-0.010625
-1.683e-06,-0.0104688
-1.682e-06,-0.00867188
-1.681e-06,-0.0084375
-1.680e-06,-0.00476563
-1.679e-06,-0.0114063
-1.678e-06,-0.00992188
-1.677e-06,-0.00914063
-1.676e-06,-0.00828125
-1.675e-06,-0.01
-1.674e-06,-0.00570312
-1.673e-06,-0.009375
-1.672e-06,-0.00679688
-1.671e-06,-0.0125781
-1.670e-06,-0.0116406
-1.669e-06,-0.00585938
-1.668e-06,-0.0108594
-1.667e-06,-0.00640625
-1.666e-06,-0.00984375
-1.665e-06,-0.008125
-1.664e-06,-0.00796875
-1.663e-06,-0.010625
-1.662e-06,-0.005625
-1.661e-06,-0.00898438
-1.660e-06,-0.00882812
-1.659e-06,-0.0096875
-1.658e-06,-0.00882812
-1.657e-06,-0.0136719
-1.656e-06,-0.0101563
-1.655e-06,-0.0096875
-1.654e-06,-0.0102344
-1.653e-06,-0.00921875
-1.652e-06,-0.0126563
-1.651e-06,-0.0103906
-1.650e-06,-0.0126563
-1.649e-06,-0.00796875
-1.648e-06,-0.00429688
-1.647e-06,-0.00921875
-1.646e-06,-0.0104688
-1.645e-06,-0.00859375
-1.644e-06,-0.00476563
-1.643e-06,-0.00796875
-1.642e-06,-0.00882812
-1.641e-06,-0.00976562
-1.640e-06,-0.0125
-1.639e-06,-0.00921875
-1.638e-06,-0.00804688
-1.637e-06,-0.00914063
-1.636e-06,-0.00757812
-1.635e-06,-0.0102344
-1.634e-06,-0.010625
-1.633e-06,-0.0135156
-1.632e-06,-0.00679688
-1.631e-06,-0.01125
-1.630e-06,-0.00695313
-1.629e-06,-0.0110938
-1.628e-06,-0.005625
-1.627e-06,-0.00960937
-1.626e-06,-0.0100781
-1.625e-06,-0.011875
-1.624e-06,-0.00539062
-1.623e-06,-0.00992188
-1.622e-06,-0.0113281
-1.621e-06,-0.0090625
-1.620e-06,-0.00882812
-1.619e-06,-0.00851563
-1.618e-06,-0.00640625
-1.617e-06,-0.00820313
-1.616e-06,-0.00640625
-1.615e-06,-0.01125
-1.614e-06,-0.0146875
-1.613e-06,-0.0084375
-1.612e-06,-0.009375
-1.611e-06,-0.00625
-1.610e-06,-0.0146094
-1.609e-06,-0.0078125
-1.608e-06,-0.0075
-1.607e-06,-0.00921875
-1.606e-06,-0.00828125
-1.605e-06,-0.00789062
-1.604e-06,-0.0127344
-1.603e-06,-0.00960937
-1.602e-06,-0.00992188
-1.601e-06,-0.0125781
-1.600e-06,-0.00875
-1.599e-06,-0.015625
-1.598e-06,-0.0075
-1.597e-06,-0.00703125
-1.596e-06,-0.00648438
-1.595e-06,-0.00898438
-1.594e-06,-0.00664062
-1.593e-06,-0.00945313
-1.592e-06,-0.0103125
-1.591e-06,-0.00695313
-1.590e-06,-0.0046875
-1.589e-06,-0.0119531
-1.588e-06,-0.00882812
-1.587e-06,-0.0128906
-1.586e-06,-0.0078125
-1.585e-06,-0.011875
-1.584e-06,-0.00890625
-1.583e-06,-0.0139063
-1.582e-06,-0.0105469
-1.581e-06,-0.00945313
-1.580e-06,-0.0103125
-1.579e-06,-0.00742187
