Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,4.18e-06
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.7
,
,
,
Label,
TIME,CH1
-5.8200e-06,-0.00664063
-5.8180e-06,-0.00453125
-5.8160e-06,-0.0053125
-5.8140e-06,-0.0025
-5.8120e-06,-0.00335938
-5.8100e-06,-0.00460938
-5.8080e-06,-0.00796875
-5.8060e-06,-0.0053125
-5.8040e-06,-0.00523438
-5.8020e-06,-0.00585938
-5.8000e-06,-0.00570313
-5.7980e-06,-0.0053125
-5.7960e-06,-0.00476562
-5.7940e-06,-0.0071875
-5.7920e-06,-0.0053125
-5.7900e-06,-0.00546875
-5.7880e-06,-0.00757812
-5.7860e-06,-0.0065625
-5.7840e-06,-0.00460938
-5.7820e-06,-0.00359375
-5.7800e-06,-0.00570313
-5.7780e-06,-0.00671875
-5.7760e-06,-0.00320313
-5.7740e-06,-0.0028125
-5.7720e-06,-0.00445313
-5.7700e-06,-0.0046875
-5.7680e-06,-0.004375
-5.7660e-06,-0.0046875
-5.7640e-06,-0.003125
-5.7620e-06,-0.00734375
-5.7600e-06,-0.00453125
-5.7580e-06,-0.005625
-5.7560e-06,-0.00453125
-5.7540e-06,-0.00640625
-5.7520e-06,-0.00507813
-5.7500e-06,-0.00734375
-5.7480e-06,-0.0071875
-5.7460e-06,-0.00226563
-5.7440e-06,-0.00328125
-5.7420e-06,-0.00523438
-5.7400e-06,-0.00359375
-5.7380e-06,-0.0059375
-5.7360e-06,-0.00445313
-5.7340e-06,-0.0071875
-5.7320e-06,-0.00859375
-5.7300e-06,-0.00828125
-5.7280e-06,-0.00546875
-5.7260e-06,-0.00648437
-5.7240e-06,-0.0071875
-5.7220e-06,-0.00421875
-5.7200e-06,-0.0025
-5.7180e-06,-0.00648437
-5.7160e-06,0.00164062
-5.7140e-06,-0.00515625
-5.7120e-06,-0.00226563
-5.7100e-06,-0.006875
-5.7080e-06,-0.00710938
-5.7060e-06,-0.00398438
-5.7040e-06,-0.00585938
-5.7020e-06,-0.00570313
-5.7000e-06,-0.00296875
-5.6980e-06,-0.004375
-5.6960e-06,-0.00429688
-5.6940e-06,-0.00101563
-5.6920e-06,-0.0065625
-5.6900e-06,-0.00359375
-5.6880e-06,-0.005
-5.6860e-06,-0.00546875
-5.6840e-06,-0.0053125
-5.6820e-06,-0.0046875
-5.6800e-06,-0.00804688
-5.6780e-06,-0.00414063
-5.6760e-06,-0.0040625
-5.6740e-06,-0.00390625
-5.6720e-06,-0.00890625
-5.6700e-06,-0.00445313
-5.6680e-06,0.00078125
-5.6660e-06,-0.00765625
-5.6640e-06,-0.00671875
-5.6620e-06,-0.00984375
-5.6600e-06,-0.00703125
-5.6580e-06,-0.00320313
-5.6560e-06,-0.00421875
-5.6540e-06,-0.009375
-5.6520e-06,-0.00710938
-5.6500e-06,-0.0059375
-5.6480e-06,-0.00117188
-5.6460e-06,-0.00710938
-5.6440e-06,-0.00585938
-5.6420e-06,-0.00953125
-5.6400e-06,-0.00585938
-5.6380e-06,-0.0034375
-5.6360e-06,-0.00601563
-5.6340e-06,-0.00195312
-5.6320e-06,-0.00484375
-5.6300e-06,-0.0040625
-5.6280e-06,-0.00539063
-5.6260e-06,-0.0046875
-5.6240e-06,-0.00953125
-5.6220e-06,-0.00632813
-5.6200e-06,-0.00476562
-5.6180e-06,-0.00335938
-5.6160e-06,-0.0040625
-5.6140e-06,-0.00382813
-5.6120e-06,-0.0028125
-5.6100e-06,-0.00296875
-5.6080e-06,-0.00328125
-5.6060e-06,-0.00757812
-5.6040e-06,-0.00390625
-5.6020e-06,-0.00164063
-5.6000e-06,-0.00351563
-5.5980e-06,-0.00648437
-5.5960e-06,-0.0104688
-5.5940e-06,-0.00359375
-5.5920e-06,-0.00929688
-5.5900e-06,-0.00359375
-5.5880e-06,-0.00492188
-5.5860e-06,-0.00390625
-5.5840e-06,-0.00445313
-5.5820e-06,-0.00601563
-5.5800e-06,-0.00335938
-5.5780e-06,-0.005625
-5.5760e-06,-0.00617188
-5.5740e-06,-0.00242188
-5.5720e-06,-0.0075
-5.5700e-06,-0.00210938
-5.5680e-06,-0.00515625
-5.5660e-06,-0.00554688
-5.5640e-06,-0.00671875
-5.5620e-06,-0.00734375
-5.5600e-06,-0.00734375
-5.5580e-06,-0.00453125
-5.5560e-06,-0.00546875
-5.5540e-06,-0.00132813
-5.5520e-06,-0.00671875
-5.5500e-06,-0.00148438
-5.5480e-06,-0.006875
-5.5460e-06,-0.00578125
-5.5440e-06,-0.00203125
-5.5420e-06,-0.00710938
-5.5400e-06,-0.00703125
-5.5380e-06,-0.00773438
-5.5360e-06,-0.00640625
-5.5340e-06,-0.00835938
-5.5320e-06,-0.00445313
-5.5300e-06,-0.00421875
-5.5280e-06,-0.00507813
-5.5260e-06,-0.00335938
-5.5240e-06,-0.00476562
-5.5220e-06,-0.00226563
-5.5200e-06,-0.0040625
-5.5180e-06,-0.0046875
-5.5160e-06,-0.00554688
-5.5140e-06,-0.00539063
-5.5120e-06,-0.00679688
-5.5100e-06,-0.00640625
-5.5080e-06,-0.00703125
-5.5060e-06,-0.00460938
-5.5040e-06,-0.000390625
-5.5020e-06,-0.00359375
-5.5000e-06,-0.006875
-5.4980e-06,-0.00445313
-5.4960e-06,-0.00570313
-5.4940e-06,-0.00195312
-5.4920e-06,-0.00414063
-5.4900e-06,-0.00367187
-5.4880e-06,-0.00671875
-5.4860e-06,-0.0065625
-5.4840e-06,7.8125e-05
-5.4820e-06,-0.00414063
-5.4800e-06,-0.00789063
-5.4780e-06,-0.00875
-5.4760e-06,-0.00460938
-5.4740e-06,-0.0071875
-5.4720e-06,-0.00789063
-5.4700e-06,-0.00773438
-5.4680e-06,-0.00796875
-5.4660e-06,-0.00492188
-5.4640e-06,-0.00484375
-5.4620e-06,-0.00460938
-5.4600e-06,-0.00726563
-5.4580e-06,-0.003125
-5.4560e-06,-0.00539063
-5.4540e-06,-0.00492188
-5.4520e-06,-0.00453125
-5.4500e-06,-0.003125
-5.4480e-06,-0.00445313
-5.4460e-06,-0.00476562
-5.4440e-06,-0.005
-5.4420e-06,-0.0059375
-5.4400e-06,-0.0059375
-5.4380e-06,-0.00390625
-5.4360e-06,-0.00703125
-5.4340e-06,-0.00398438
-5.4320e-06,-0.00539063
-5.4300e-06,-0.00796875
-5.4280e-06,-0.00117188
-5.4260e-06,-0.004375
-5.4240e-06,-0.00609375
-5.4220e-06,-0.0065625
-5.4200e-06,-0.00546875
-5.4180e-06,-0.00484375
-5.4160e-06,-0.006875
-5.4140e-06,-0.00273438
-5.4120e-06,-0.00570313
-5.4100e-06,-0.00492188
-5.4080e-06,-0.00398438
-5.4060e-06,-0.00382813
-5.4040e-06,-0.00609375
-5.4020e-06,-0.00359375
-5.4000e-06,-0.00304688
-5.3980e-06,-0.0040625
-5.3960e-06,-0.00617188
-5.3940e-06,-0.00476562
-5.3920e-06,-0.0053125
-5.3900e-06,-0.00640625
-5.3880e-06,-0.00507813
-5.3860e-06,-0.00492188
-5.3840e-06,-0.0040625
-5.3820e-06,-0.00828125
-5.3800e-06,-0.00734375
-5.3780e-06,-0.00429688
-5.3760e-06,-0.00570313
-5.3740e-06,-0.00703125
-5.3720e-06,-0.00242188
-5.3700e-06,-0.00242188
-5.3680e-06,-0.00835938
-5.3660e-06,-0.00625
-5.3640e-06,-0.00726563
-5.3620e-06,-0.0090625
-5.3600e-06,-0.004375
-5.3580e-06,-0.0034375
-5.3560e-06,-0.00617188
-5.3540e-06,-0.0065625
-5.3520e-06,-0.00140625
-5.3500e-06,-0.0075
-5.3480e-06,-0.00664063
-5.3460e-06,-0.00664063
-5.3440e-06,-0.009375
-5.3420e-06,-0.00726563
-5.3400e-06,-0.00640625
-5.3380e-06,-0.00210938
-5.3360e-06,-0.006875
-5.3340e-06,-0.00570313
-5.3320e-06,-0.00476562
-5.3300e-06,-0.00570313
-5.3280e-06,-0.00367187
-5.3260e-06,-0.00515625
-5.3240e-06,-0.00359375
-5.3220e-06,-0.01
-5.3200e-06,-0.00445313
-5.3180e-06,-0.00820313
-5.3160e-06,-0.00703125
-5.3140e-06,-0.0034375
-5.3120e-06,-0.00625
-5.3100e-06,-0.0046875
-5.3080e-06,-0.00429688
-5.3060e-06,-0.010625
-5.3040e-06,-0.00398438
-5.3020e-06,-0.00609375
-5.3000e-06,-0.00820313
-5.2980e-06,-0.00601563
-5.2960e-06,-0.004375
-5.2940e-06,-0.0059375
-5.2920e-06,-0.00554688
-5.2900e-06,-0.00476562
-5.2880e-06,-0.00734375
-5.2860e-06,-0.00617188
-5.2840e-06,-0.0046875
-5.2820e-06,-0.00421875
-5.2800e-06,-0.0053125
-5.2780e-06,-0.00234375
-5.2760e-06,-0.00773438
-5.2740e-06,-0.00742188
-5.2720e-06,-0.00601563
-5.2700e-06,-0.00601563
-5.2680e-06,-0.00476562
-5.2660e-06,-0.00796875
-5.2640e-06,-0.00515625
-5.2620e-06,-0.00546875
-5.2600e-06,-0.0028125
-5.2580e-06,-0.00375
-5.2560e-06,-0.0084375
-5.2540e-06,-0.00890625
-5.2520e-06,-0.00453125
-5.2500e-06,-0.00515625
-5.2480e-06,-0.00703125
-5.2460e-06,-0.0059375
-5.2440e-06,-0.00367187
-5.2420e-06,-0.0075
-5.2400e-06,-0.005
-5.2380e-06,-0.00328125
-5.2360e-06,-0.00796875
-5.2340e-06,-0.00429688
-5.2320e-06,-0.00648437
-5.2300e-06,-0.00375
-5.2280e-06,-0.00664063
-5.2260e-06,-0.0025
-5.2240e-06,-0.00523438
-5.2220e-06,-0.00382813
-5.2200e-06,-0.0071875
-5.2180e-06,-0.00796875
-5.2160e-06,-0.0090625
-5.2140e-06,-0.00265625
-5.2120e-06,-0.00234375
-5.2100e-06,-0.0126563
-5.2080e-06,-0.00789063
-5.2060e-06,-0.00210938
-5.2040e-06,-0.0078125
-5.2020e-06,-0.00476562
-5.2000e-06,-0.00289063
-5.1980e-06,-0.00382813
-5.1960e-06,-0.0046875
-5.1940e-06,-0.0034375
-5.1920e-06,-0.00351563
-5.1900e-06,-0.00703125
-5.1880e-06,-0.003125
-5.1860e-06,-0.005625
-5.1840e-06,-0.0034375
-5.1820e-06,-0.00320313
-5.1800e-06,-0.00648437
-5.1780e-06,-0.00210938
-5.1760e-06,-0.00625
-5.1740e-06,-0.00453125
-5.1720e-06,-0.00546875
-5.1700e-06,-0.00453125
-5.1680e-06,-0.00515625
-5.1660e-06,-0.00625
-5.1640e-06,-0.00398438
-5.1620e-06,-0.004375
-5.1600e-06,-0.0107031
-5.1580e-06,-0.0046875
-5.1560e-06,-0.00109375
-5.1540e-06,-0.0015625
-5.1520e-06,-0.00882813
-5.1500e-06,-0.006875
-5.1480e-06,-0.00585938
-5.1460e-06,-0.00351563
-5.1440e-06,-0.00523438
-5.1420e-06,-0.00289063
-5.1400e-06,-0.00476562
-5.1380e-06,-0.006875
-5.1360e-06,-0.00835938
-5.1340e-06,-0.00414063
-5.1320e-06,-0.00710938
-5.1300e-06,-0.0028125
-5.1280e-06,-0.00539063
-5.1260e-06,-0.00617188
-5.1240e-06,-0.00632813
-5.1220e-06,-0.00710938
-5.1200e-06,-0.00640625
-5.1180e-06,-0.00703125
-5.1160e-06,-0.0003125
-5.1140e-06,-0.0071875
-5.1120e-06,-0.00203125
-5.1100e-06,-0.00601563
-5.1080e-06,-0.00554688
-5.1060e-06,-0.00617188
-5.1040e-06,-0.0071875
-5.1020e-06,-0.0059375
-5.1000e-06,-0.00632813
-5.0980e-06,-0.00445313
-5.0960e-06,-0.0040625
-5.0940e-06,-0.00328125
-5.0920e-06,-0.00351563
-5.0900e-06,-0.00789063
-5.0880e-06,-0.00773438
-5.0860e-06,-0.00460938
-5.0840e-06,-0.00804688
-5.0820e-06,-0.00117188
-5.0800e-06,-0.00484375
-5.0780e-06,-0.00335938
-5.0760e-06,-0.00617188
-5.0740e-06,-0.008125
-5.0720e-06,-0.00898438
-5.0700e-06,-0.00320313
-5.0680e-06,-0.00757812
-5.0660e-06,-0.00851563
-5.0640e-06,-0.00953125
-5.0620e-06,-0.00554688
-5.0600e-06,-0.00757812
-5.0580e-06,-0.0053125
-5.0560e-06,-0.00523438
-5.0540e-06,-0.00671875
-5.0520e-06,-0.00640625
-5.0500e-06,-0.00515625
-5.0480e-06,-0.00578125
-5.0460e-06,-0.00453125
-5.0440e-06,-0.00351563
-5.0420e-06,-0.00679688
-5.0400e-06,-0.00726563
-5.0380e-06,-0.0090625
-5.0360e-06,-0.00476562
-5.0340e-06,-0.00484375
-5.0320e-06,-0.0021875
-5.0300e-06,-0.00453125
-5.0280e-06,-0.00351563
-5.0260e-06,-0.00453125
-5.0240e-06,-0.00640625
-5.0220e-06,-0.00367187
-5.0200e-06,-0.00367187
-5.0180e-06,-0.00367187
-5.0160e-06,-0.0075
-5.0140e-06,-0.00875
-5.0120e-06,-0.00296875
-5.0100e-06,-0.00492188
-5.0080e-06,-0.00796875
-5.0060e-06,-0.00203125
-5.0040e-06,-0.00820313
-5.0020e-06,-0.0065625
-5.0000e-06,-0.00460938
-4.9980e-06,-0.00445313
-4.9960e-06,-0.00164063
-4.9940e-06,-0.00257812
-4.9920e-06,-0.00570313
-4.9900e-06,-0.00132813
-4.9880e-06,-0.00117188
-4.9860e-06,-0.00515625
-4.9840e-06,-0.00679688
-4.9820e-06,-0.00390625
-4.9800e-06,-0.00640625
-4.9780e-06,-0.00757812
-4.9760e-06,-0.00375
-4.9740e-06,-0.0040625
-4.9720e-06,-0.00578125
-4.9700e-06,-0.0021875
-4.9680e-06,-0.00570313
-4.9660e-06,-0.00429688
-4.9640e-06,-0.00335938
-4.9620e-06,-0.00179688
-4.9600e-06,-0.00625
-4.9580e-06,-0.00554688
-4.9560e-06,-0.0040625
-4.9540e-06,-0.00773438
-4.9520e-06,-0.00570313
-4.9500e-06,-0.0065625
-4.9480e-06,-0.00789063
-4.9460e-06,-0.00703125
-4.9440e-06,-0.00835938
-4.9420e-06,-0.00171875
-4.9400e-06,-0.00507813
-4.9380e-06,-0.005625
-4.9360e-06,-0.00242188
-4.9340e-06,-0.00265625
-4.9320e-06,-0.00515625
-4.9300e-06,-0.005625
-4.9280e-06,-0.00796875
-4.9260e-06,-0.00242188
-4.9240e-06,-0.00421875
-4.9220e-06,-0.00703125
-4.9200e-06,-0.00976562
-4.9180e-06,-0.00195312
-4.9160e-06,-0.00570313
-4.9140e-06,-0.00609375
-4.9120e-06,-0.00882813
-4.9100e-06,-0.00695313
-4.9080e-06,-0.000703125
-4.9060e-06,-0.00828125
-4.9040e-06,-0.00414063
-4.9020e-06,-0.00460938
-4.9000e-06,-0.00460938
-4.8980e-06,-0.0059375
-4.8960e-06,-0.00601563
-4.8940e-06,-0.005
-4.8920e-06,-0.00742188
-4.8900e-06,-0.0084375
-4.8880e-06,-0.00773438
-4.8860e-06,-0.00476562
-4.8840e-06,-0.005
-4.8820e-06,-0.00859375
-4.8800e-06,-0.005625
-4.8780e-06,-0.00164063
-4.8760e-06,-0.0078125
-4.8740e-06,-0.00804688
-4.8720e-06,-0.00835938
-4.8700e-06,-0.00734375
-4.8680e-06,-0.00367187
-4.8660e-06,-0.0046875
-4.8640e-06,-0.00382813
-4.8620e-06,-0.005625
-4.8600e-06,-0.00703125
-4.8580e-06,-0.00820313
-4.8560e-06,-0.00570313
-4.8540e-06,-0.00242188
-4.8520e-06,-0.0065625
-4.8500e-06,-0.00695313
-4.8480e-06,-0.00679688
-4.8460e-06,-0.00796875
-4.8440e-06,-0.00421875
-4.8420e-06,-0.00773438
-4.8400e-06,-0.00375
-4.8380e-06,-0.00742188
-4.8360e-06,-0.0053125
-4.8340e-06,-0.00117188
-4.8320e-06,-0.00625
-4.8300e-06,-0.00578125
-4.8280e-06,-0.0059375
-4.8260e-06,-0.00390625
-4.8240e-06,-0.0075
-4.8220e-06,-0.00890625
-4.8200e-06,-0.00820313
-4.8180e-06,-0.00164063
-4.8160e-06,-0.00695313
-4.8140e-06,-0.00703125
-4.8120e-06,-0.00523438
-4.8100e-06,-0.00460938
-4.8080e-06,-0.005625
-4.8060e-06,-0.00742188
-4.8040e-06,-0.00296875
-4.8020e-06,-0.0065625
-4.8000e-06,-0.0090625
-4.7980e-06,-0.0065625
-4.7960e-06,-0.00757812
-4.7940e-06,-0.00429688
-4.7920e-06,-0.00726563
-4.7900e-06,7.8125e-05
-4.7880e-06,-0.005
-4.7860e-06,-0.00289063
-4.7840e-06,-0.0075
-4.7820e-06,-0.0040625
-4.7800e-06,-0.00148438
-4.7780e-06,-0.00671875
-4.7760e-06,-0.00375
-4.7740e-06,-0.00375
-4.7720e-06,-0.004375
